date,infected,all_infected,newly_infected,recovered,detected,all_detected,ratio_detected,hospitalized,icu,dead,r,percent_new_infected
2020-05-01,28496.0,102591.0,803.0,73782.0,3643.4171428571412,13116.992142857138,0.1278571428571428,655.408,131.0816,1367.88,0.8035479632063075,0.007827121023081722
2020-05-02,27863.0,103400.0,809.0,75218.0,3600.629345238094,13361.988095238092,0.12922619047619044,640.8489999999999,128.16979999999998,1378.6666666666667,0.8315926892950392,0.007823908859682208
2020-05-03,27205.0,104218.0,818.0,76686.0,3552.843452380951,13610.374523809518,0.13059523809523804,625.715,125.14300000000001,1389.5733333333333,0.789875173370319,0.00784885673437665
2020-05-04,26672.0,105059.0,841.0,78056.0,3519.751428571427,13864.035892857135,0.13196428571428565,613.456,122.69120000000001,1400.7866666666666,0.8204607046070461,0.008004949552636588
2020-05-05,26153.0,105886.0,827.0,79399.0,3487.0666666666666,14118.133333333333,0.13333333333333333,601.519,120.30380000000001,1411.8133333333333,0.8289665211062591,0.007810212773994919
2020-05-06,25628.0,106651.0,765.0,80683.0,3417.0666666666666,14220.133333333333,0.13333333333333333,589.444,117.8888,1422.0133333333333,0.8187221396731055,0.0071728612684244086
2020-05-07,25203.0,107429.0,778.0,81879.0,3360.4,14323.866666666667,0.13333333333333333,579.669,115.9338,1432.3866666666668,0.8348837209302326,0.007241924974401936
2020-05-08,24824.0,108232.0,803.0,83049.0,3309.866666666667,14430.933333333332,0.13333333333333333,570.952,114.19040000000001,1443.0933333333332,0.8428927680798005,0.007419178993467796
2020-05-09,24409.0,108975.0,743.0,84204.0,3254.5333333333333,14530.0,0.13333333333333333,561.407,112.28140000000002,1453.0,0.8781725888324873,0.006818014975774483
2020-05-10,24063.0,109768.0,793.0,85339.0,3208.4,14635.733333333334,0.13333333333333333,553.449,110.68979999999999,1463.5733333333333,0.8151986183074266,0.007224261858994798
2020-05-11,23733.0,110551.0,783.0,86451.0,3164.4,14740.133333333333,0.13333333333333333,545.859,109.17180000000002,1474.0133333333333,0.8147497805092186,0.007082639843693466
2020-05-12,23351.0,111303.0,752.0,87580.0,3113.4666666666667,14840.4,0.13333333333333333,537.073,107.41460000000001,1484.04,0.8814016172506739,0.0067562711133472295
2020-05-13,23023.0,112113.0,810.0,88708.0,3069.733333333333,14948.4,0.13333333333333333,529.529,105.9058,1494.84,0.8871252204585538,0.007224789053998608
2020-05-14,22849.0,112967.0,854.0,89731.0,3046.5333333333333,15062.266666666666,0.13333333333333333,525.527,105.10540000000002,1506.2266666666667,0.8576449912126538,0.007559662913391403
2020-05-15,22664.0,113778.0,811.0,90725.0,3021.866666666667,15170.4,0.13333333333333333,521.2719999999999,104.25439999999999,1517.04,0.8317120622568094,0.007127853118765326
2020-05-16,22466.0,114569.0,791.0,91710.0,2995.4666666666667,15275.866666666667,0.13333333333333333,516.718,103.3436,1527.5866666666666,0.9036144578313253,0.006904076110674696
2020-05-17,22234.0,115325.0,756.0,92697.0,2964.5333333333333,15376.666666666666,0.13333333333333333,511.382,102.27640000000001,1537.6666666666667,0.8594539939332659,0.006555330107694709
2020-05-18,21984.0,116046.0,721.0,93664.0,2931.2,15472.8,0.13333333333333333,505.632,101.1264,1547.28,0.9119433198380567,0.00621299990521082
2020-05-19,21821.0,116854.0,808.0,94632.0,2909.4666666666667,15580.533333333333,0.13333333333333333,501.883,100.3766,1558.0533333333333,0.8650875386199794,0.006914552222840272
2020-05-20,21737.0,117697.0,843.0,95554.0,2898.2666666666664,15692.933333333332,0.13333333333333333,499.95099999999996,99.9902,1569.2933333333333,0.9629248197734295,0.007162398681370966
2020-05-21,21694.0,118508.0,811.0,96405.0,2892.5333333333333,15801.066666666666,0.13333333333333333,498.962,99.7924,1580.1066666666666,0.9665587918015103,0.00684336210751926
2020-05-22,21602.0,119269.0,761.0,97253.0,2880.2666666666664,15902.533333333333,0.13333333333333333,496.846,99.3692,1590.2533333333333,0.9379391100702577,0.006380481261004444
2020-05-23,21445.0,120048.0,779.0,98186.0,2859.3333333333335,16006.4,0.13333333333333333,493.235,98.647,1600.64,0.8581477139507621,0.006489016984731235
2020-05-24,21410.0,120866.0,818.0,99035.0,2854.6666666666665,16115.466666666667,0.13333333333333333,492.43,98.486,1611.5466666666666,0.9166666666666666,0.006767769531799416
